    442 する	を 
      3 する	て は が 
      3 する	て と を 
      3 する	て が を 
      3 する	て か を 
      3 する	て か 
      3 する	たり を 
      3 する	が へ を 
      3 する	が で 
      3 する	が て を 
      3 する	が から 
      3 する	から に は 
      3 する	から が 
      2 律する	を以て を 
      2 要する	は を 
      2 有する	を 
      2 表する	に を 
      2 表する	と は て を 
      2 達する	ば は 
      2 存する	に 
      2 属する	は に 
      2 称する	とか 
      2 処する	に 
      2 号する	など と 
      2 する	を に に 
      2 する	を て 
      2 する	わ と 
      2 する	よ と に 
      2 する	や 
      2 する	も は 
      2 する	も と 
      2 する	も から 
      2 する	まで は 
      2 する	ほど 
      2 する	ばかり を 
      2 する	ばかり に 
      2 する	ばかり 
      2 する	ば は と 
      2 する	ば は 
      2 する	ば のに で 
      2 する	ば に 
      2 する	は は は と 
      2 する	は は 
      2 する	は に は 
      2 する	は て も を 
      2 する	は て と 
      2 する	は くらい に 
      2 する	は が も 
      2 する	ね と に 
      2 する	ね 
      2 する	に まで 
      2 する	に は と 
      2 する	に の 
      2 する	に て 
      2 する	に が に 
      2 する	など を に 
      2 する	ながら を 
      2 する	な と は 
      2 する	な と が 
      2 する	な 
      2 する	とも 
      2 する	として は 
      2 する	と は に を 
      2 する	と は で を 
      2 する	と に を 
      2 する	と て 
      2 する	と から を 
      2 する	で を に 
      2 する	で は を 
      2 する	で は 
      2 する	で から を 
      2 する	て を と 
      2 する	て を か に 
      2 する	て も を 
      2 する	て も の 
      2 する	て も に 
      2 する	て も が 
      2 する	て ば 
      2 する	て は を 
      2 する	て と は で 
      2 する	て と で 
      2 する	て で を 
      2 する	て で も 
      2 する	て て に 
      2 する	て だけ は 
      2 する	て が を に 
      2 する	て が から 
      2 する	て から 
      2 する	って を 
      2 する	って に 
      2 する	って 
      2 する	だって を 
      2 する	だって に 
      2 する	ぜ と は に 
      2 する	ぜ 
      2 する	じゃ を 
      2 する	じゃ は に 
      2 する	じゃ 
      2 する	が も 
      2 する	が は 
      2 する	が の 
      2 する	が に を に 
      2 する	が として 
      2 する	が と を 
      2 する	が で に 
      2 する	が て に 
      2 する	が さえ 
      2 する	が が 
      2 する	から へ 
      2 する	から は を 
      2 する	から ね と を 
      2 する	から など を 
      2 する	から と を 
      2 する	から で 
      2 する	から て を 
      2 する	から て に 
      2 する	から て で を 
      2 する	から て て を 
      2 する	から て 
      2 する	から が を 
      2 する	か は 
      2 する	か な と で 
      2 する	か と は を 
      2 する	か と は 
      1 弄する	て を に 
      1 弄する	て を 
      1 弄する	が を 
      1 労する	て を 
      1 略する	から 
      1 律する	て 
      1 欲する	も を 
      1 欲する	は を 
      1 要する	は に と を 
      1 要する	と ども に を 
      1 要する	て が で を 
      1 有する	へ を 
      1 有する	は を 
      1 目する	て 
      1 滅する	を 
      1 滅する	ば を 
      1 滅する	は 
      1 滅する	て 
      1 飽き飽きする	も 
      1 復する	で に 
      1 評する	は を とか 
      1 評する	て を と 
      1 表する	を 
      1 表する	に対して は に を 
      1 表する	と に対して を 
      1 表する	て じゃ か と は を 
      1 表する	じゃ を 
      1 比する	に 
      1 発する	は として も 
      1 発する	の 
      1 発する	として を 
      1 発する	さえ 
      1 発する	か と は に対して を 
      1 縛する	に 
      1 倍する	に 
      1 拝する	で を 
      1 廃する	は を 
      1 廃する	から 
      1 適する	に て に 
      1 注する	て を 
      1 値する	に に 
      1 脱する	を 
      1 達する	ば は に 
      1 達する	の 
      1 達する	に 
      1 達する	ながら に 
      1 達する	で に 
      1 達する	て は が 
      1 損する	ば を 
      1 存する	を 
      1 存する	が に 
      1 属する	に 
      1 奏する	を が 
      1 制する	から と が 
      1 称する	まで と 
      1 称する	に と 
      1 称する	など と 
      1 称する	から 
      1 処する	へ に 
      1 失する	を 
      1 察する	に は と 
      1 察する	と と 
      1 坐する	に 
      1 号する	を と 
      1 号する	は と 
      1 号する	に のみ と 
      1 号する	とか 
      1 号する	と 
      1 号する	でも とか 
      1 抗する	に 
      1 御する	を 
      1 御する	て ば 
      1 鼓する	が に を 
      1 決する	を 
      1 敬する	は に て 
      1 供する	にて で も 
      1 窮する	も に 
      1 窮する	に 
      1 窮する	と に 
      1 喫する	を 
      1 喫する	て を 
      1 期する	を 
      1 関する	て は に 
      1 冠する	て を 
      1 劃する	を て など と 
      1 劃する	て として に を 
      1 害する	を 
      1 害する	が を 
      1 解する	の は を 
      1 価する	に 
      1 云う	に対して も に対する と 
      1 逸する	て を 
      1 愛する	において を 
      1 わする	は て と 
      1 わする	ね と は 
      1 わする	ね と て へ と 
      1 わする	て よ と 
      1 ゆする	て に 
      1 まする	により 
      1 なする	を 
      1 なする	よ て って て で 
      1 なする	に 
      1 なする	と 
      1 なする	で 
      1 なする	て ば で を 
      1 なする	て 
      1 する	んで と から と に 
      1 する	んで が 
      1 する	んで 
      1 する	ん から ながら に 
      1 する	を わ と 
      1 する	を も 
      1 する	を まで 
      1 する	を の 
      1 する	を に は を の へ に 
      1 する	を に て として を 
      1 する	を に が と 
      1 する	を に から 
      1 する	を ながら に 
      1 する	を として 
      1 する	を と も 
      1 する	を と ばかり 
      1 する	を と に を 
      1 する	を でも 
      1 する	を で 
      1 する	を たり 
      1 する	を さえ 
      1 する	を が に に 
      1 する	を か に 
      1 する	を か で 
      1 する	を か が に 
      1 する	わ を 
      1 する	わ ね から ね と を 
      1 する	わ か を 
      1 する	より を 
      1 する	より も を 
      1 する	より は と 
      1 する	より は 
      1 する	より の 
      1 する	より に 
      1 する	より 
      1 する	よ は か 
      1 する	よ は 
      1 する	よ と に を 
      1 する	よ と が に 
      1 する	よ と が 
      1 する	よ 
      1 する	やら へ 
      1 する	や が を に 
      1 する	も ば 
      1 する	も は で 
      1 する	も において と 
      1 する	も と を 
      1 する	も と は は 
      1 する	も と は 
      1 する	も で に も 
      1 する	も て を に 
      1 する	も て に に 
      1 する	も て 
      1 する	も だけ に を 
      1 する	も くらい 
      1 する	も から を 
      1 する	も から よ と は 
      1 する	まで も 
      1 する	まで は を 
      1 する	まで に で 
      1 する	まで に が を 
      1 する	まで が を 
      1 する	まで が に 
      1 する	まで が 
      1 する	ほど は ほど 
      1 する	ほど と 
      1 する	ほど が に 
      1 する	へ が は 
      1 する	ばかり わ と を 
      1 する	ばかり に を 
      1 する	ばかり に が 
      1 する	ばかり から 
      1 する	ば も は 
      1 する	ば も に 
      1 する	ば まで も 
      1 する	ば は に を 
      1 する	ば は に 
      1 する	ば は て とも 
      1 する	ば のに 
      1 する	ば に を 
      1 する	ば に は を 
      1 する	ば とか を 
      1 する	ば と は て と 
      1 する	ば で は 
      1 する	ば で 
      1 する	ば こそ が として 
      1 する	ば こそ が 
      1 する	ば から を 
      1 する	ば から も まで に は を 
      1 する	は を に か 
      1 する	は を と 
      1 する	は を て と 
      1 する	は より も 
      1 する	は も て て と を に 
      1 する	は まで も を 
      1 する	は まで も に 
      1 する	は まで に 
      1 する	は まで と 
      1 する	は まで 
      1 する	は ほど は と 
      1 する	は へ を 
      1 する	は へ も 
      1 する	は は に も を 
      1 する	は は て て 
      1 する	は の て に に 
      1 する	は の 
      1 する	は ね と を 
      1 する	は に対して を 
      1 する	は によって 
      1 する	は に は に 
      1 する	は に は と 
      1 する	は に ながら を 
      1 する	は に と を 
      1 する	は に でも 
      1 する	は に て か を 
      1 する	は に が 
      1 する	は ながら の を 
      1 する	は ながら に 
      1 する	は ながら と 
      1 する	は ながら て ぜ と を が 
      1 する	は ながら 
      1 する	は ども 
      1 する	は とも とも と 
      1 する	は として に を 
      1 する	は と に を 
      1 する	は と に は に 
      1 する	は と と は 
      1 する	は と て を に 
      1 する	は でも を 
      1 する	は で を から 
      1 する	は で を 
      1 する	は で ばかり 
      1 する	は で は 
      1 する	は で に 
      1 する	は で から を 
      1 する	は で 
      1 する	は て を も て 
      1 する	は て を に 
      1 する	は て を と 
      1 する	は て も の に 
      1 する	は て も と 
      1 する	は て へ 
      1 する	は て は を 
      1 する	は て の に 
      1 する	は て に は て を 
      1 する	は て に だけ を に 
      1 する	は て で を 
      1 する	は て て を 
      1 する	は て て や 
      1 する	は て て は と で に 
      1 する	は て て に を 
      1 する	は て て から 
      1 する	は て が まで に 
      1 する	は て が と共に が に 
      1 する	は て か も 
      1 する	は て か と 
      1 する	は て か 
      1 する	は ちゃ を 
      1 する	は くらい も 
      1 する	は くらい 
      1 する	は が は 
      1 する	は が に よ に 
      1 する	は が に 
      1 する	は が と 
      1 する	は から まで を 
      1 する	は から は に 
      1 する	は から に と 
      1 する	は から と を 
      1 する	は から と が 
      1 する	は から で 
      1 する	は か を 
      1 する	は か は も など て も 
      1 する	は か について に 
      1 する	は か と 
      1 する	のみ が に で 
      1 する	のに が 
      1 する	のに か と は が を 
      1 する	ので も を 
      1 する	ので は と 
      1 する	ので は 
      1 する	ので に を 
      1 する	ので なり に 
      1 する	ので で 
      1 する	ので て を 
      1 する	ので て に 
      1 する	ので が と を 
      1 する	ので が から は て に 
      1 する	ので が 
      1 する	の を 
      1 する	の は として に 
      1 する	の は て と を 
      1 する	の は から は 
      1 する	の に まで を 
      1 する	の に に を 
      1 する	の に に も 
      1 する	の に と を 
      1 する	の て と は で て の 
      1 する	の て て 
      1 する	の て 
      1 する	の か を 
      1 する	ねえ と は て に 
      1 する	ねえ 
      1 する	ね を 
      1 する	ね は が も を 
      1 する	ね と を 
      1 する	ね と は を 
      1 する	ね と は に 
      1 する	ね と は て を が 
      1 する	ね と 
      1 する	ね て が と 
      1 する	ね から 
      1 する	に対して に 
      1 する	に対し を 
      1 する	に従って は 
      1 する	によって と は 
      1 する	によって と だけ は に 
      1 する	によって と から 
      1 する	によって 
      1 する	にて を 
      1 する	について を 
      1 する	について の を 
      1 する	において を 
      1 する	において と 
      1 する	において て で を 
      1 する	において が を 
      1 する	において が て 
      1 する	において か を 
      1 する	において か が 
      1 する	にあたって を 
      1 する	に を も 
      1 する	に を として に 
      1 する	に も を に 
      1 する	に も を 
      1 する	に へ で も 
      1 する	に へ 
      1 する	に ば を 
      1 する	に は をもって 
      1 する	に は を か に 
      1 する	に は も に 
      1 する	に は に 
      1 する	に は て を 
      1 する	に は て 
      1 する	に は が 
      1 する	に は から に が 
      1 する	に に ほど 
      1 する	に など を に 
      1 する	に など を 
      1 する	に など が 
      1 する	に と を 
      1 する	に と は を 
      1 する	に と は で に 
      1 する	に と 
      1 する	に でも 
      1 する	に で を から に 
      1 する	に で と共に 
      1 する	に て で 
      1 する	に て だけ に 
      1 する	に て が 
      1 する	に だけ でも へ 
      1 する	に だけ でも 
      1 する	に たって に は 
      1 する	に が て 
      1 する	に から 
      1 する	に か を 
      1 する	に か に 
      1 する	なんて だって は や 
      1 する	なんぞ も で 
      1 する	なんか や 
      1 する	など を 
      1 する	など は て を 
      1 する	など は て も 
      1 する	など は て は 
      1 する	など は 
      1 する	など と で 
      1 する	など で を 
      1 する	なぞ は に 
      1 する	ながら が 
      1 する	な を 
      1 する	な と を 
      1 する	な と は を 
      1 する	な と 
      1 する	ども へ と 
      1 する	と共に て の に 
      1 する	とも を 
      1 する	とも まで は と 
      1 する	として を 
      1 する	として も 
      1 する	として に 
      1 する	として が を 
      1 する	として が に 
      1 する	として が 
      1 する	とか 
      1 する	という を 
      1 する	と を の に 
      1 する	と を に 
      1 する	と を て 
      1 する	と よ と が 
      1 する	と も を 
      1 する	と も に 
      1 する	と も と を 
      1 する	と も だけ は に 
      1 する	と も から 
      1 する	と まで 
      1 する	と ばかり 
      1 する	と は まで も て 
      1 する	と は によって の を 
      1 する	と は について か を 
      1 する	と は にあたって て 
      1 する	と は ながら 
      1 する	と は として も 
      1 する	と は と は 
      1 する	と は と 
      1 する	と は で 
      1 する	と は て を 
      1 する	と は て も に 
      1 する	と は て に を 
      1 する	と は て と 
      1 する	と は て 
      1 する	と は だけ に を 
      1 する	と は が て な と は を 
      1 する	と は から 
      1 する	と は か と 
      1 する	と の 
      1 する	と ねえ と も を 
      1 する	と に を と 
      1 する	と に ばかり 
      1 する	と に は が を 
      1 する	と に て へ 
      1 する	と に すら か 
      1 する	と ども が 
      1 する	と と も 
      1 する	と と は に を 
      1 する	と と は と を 
      1 する	と と が 
      1 する	と でも 
      1 する	と で も に 
      1 する	と で に 
      1 する	と て を に 
      1 する	と て は 
      1 する	と て に 
      1 する	と て て も は を 
      1 する	と て て ばかり 
      1 する	と て たり を 
      1 する	と て くらい に 
      1 する	と て が 
      1 する	と て か 
      1 する	と ちゃ か ちゃ が か 
      1 する	と さ は に は 
      1 する	と け を 
      1 する	と くらい 
      1 する	と が を に 
      1 する	と が も を 
      1 する	と が が 
      1 する	と が から に を 
      1 する	と から 
      1 する	と か から 
      1 する	でも は に 
      1 する	でも は と 
      1 する	でも の 
      1 する	でも で を 
      1 する	でも で は 
      1 する	でも て 
      1 する	で よ と 
      1 する	で も に は 
      1 する	で も と 
      1 する	で まで 
      1 する	で ほど 
      1 する	で ばかり に 
      1 する	で は を と 
      1 する	で は に から が の 
      1 する	で は に 
      1 する	で は と 
      1 する	で は て を 
      1 する	で は さえ 
      1 する	で は から 
      1 する	で の を 
      1 する	で の て て から 
      1 する	で の 
      1 する	で に も に 
      1 する	で なり に 
      1 する	で と を 
      1 する	で と は 
      1 する	で と が を 
      1 する	で と が 
      1 する	で と 
      1 する	で でも を 
      1 する	で でも 
      1 する	で で を 
      1 する	で て を 
      1 する	で て が に 
      1 する	で て 
      1 する	で が に 
      1 する	で が で も 
      1 する	で から 
      1 する	で か が 
      1 する	て を へ の 
      1 する	て を が を 
      1 する	て を が 
      1 する	て も を に 
      1 する	て も て へ は 
      1 する	て も て へ 
      1 する	て も だけ は 
      1 する	て も から か 
      1 する	て も から 
      1 する	て まで を 
      1 する	て へ を 
      1 する	て へ は を 
      1 する	て ばかり 
      1 する	て ば が を 
      1 する	て ば が に 
      1 する	て ば が と が の に 
      1 する	て ば が 
      1 する	て は を と も 
      1 する	て は も 
      1 する	て は まで は で 
      1 する	て は まで 
      1 する	て は に 
      1 する	て は として を 
      1 する	て は と ども 
      1 する	て は て を 
      1 する	て は て に は で を 
      1 する	て は て に 
      1 する	て は だけ が の に 
      1 する	て は が を け に 
      1 する	て は が に 
      1 する	て は から を 
      1 する	て は から 
      1 する	て のに は て ばかり に 
      1 する	て の に 
      1 する	て ね を 
      1 する	て ね と は 
      1 する	て ね と て は が 
      1 する	て に を に 
      1 する	て に も を 
      1 する	て に も 
      1 する	て に は が 
      1 する	て に に 
      1 する	て に と を 
      1 する	て に と 
      1 する	て に って を 
      1 する	て に だけ に 
      1 する	て に が と を 
      1 する	て に が 
      1 する	て なんか 
      1 する	て なり 
      1 する	て など と 
      1 する	て ながら を 
      1 する	て と も だけ は に 
      1 する	て と は を 
      1 する	て と に で が 
      1 する	て と に が 
      1 する	て と で と が 
      1 する	て と て を 
      1 する	て と て て を 
      1 する	て と て が へ 
      1 する	て でも で も と 
      1 する	て で が 
      1 する	て て を に 
      1 する	て て を でも 
      1 する	て て も を で 
      1 する	て て も 
      1 する	て て に から 
      1 する	て て と を 
      1 する	て て で を 
      1 する	て て て だり 
      1 する	て て て 
      1 する	て て って は 
      1 する	て て だけ に よ と 
      1 する	て って が 
      1 する	て だけ を に に 
      1 する	て だけ へ 
      1 する	て じゃ 
      1 する	て さえ を 
      1 する	て さえ ば を 
      1 する	て さえ 
      1 する	て さ と 
      1 する	て が まで 
      1 する	て が ので 
      1 する	て が に 
      1 する	て が と 
      1 する	て が で 
      1 する	て が ずつ を 
      1 する	て が から は て は に 
      1 する	て から も て 
      1 する	て から は を 
      1 する	て から は 
      1 する	て から に 
      1 する	て から て から を 
      1 する	て から て から は を 
      1 する	て か は を で 
      1 する	て か に と 
      1 する	て か に が 
      1 する	て か に 
      1 する	て か と を 
      1 する	つつ 
      1 する	って や 
      1 する	って に は て や 
      1 する	って でも も を 
      1 する	ちゃ から 
      1 する	ちゃ 
      1 する	だに 
      1 する	だって や 
      1 する	だって から 
      1 する	だけ を 
      1 する	だけ は を 
      1 する	だけ は と に 
      1 する	だけ は で と 
      1 する	だけ は から 
      1 する	だけ で は や 
      1 する	だけ で 
      1 する	たり も 
      1 する	たり は て を 
      1 する	たり と 
      1 する	たり て て を 
      1 する	たり だり を 
      1 する	たり たり たり たり て 
      1 する	たり が に に 
      1 する	たって 
      1 する	ぜ は を 
      1 する	すら を 
      1 する	すら 
      1 する	じゃ のに は で 
      1 する	じゃ ね ものの が 
      1 する	じゃ に に 
      1 する	じゃ と は から と を 
      1 する	じゃ で 
      1 する	じゃ て を 
      1 する	じゃ て 
      1 する	じゃ だけ は に 
      1 する	じゃ し と が 
      1 する	じゃ けども て を 
      1 する	じゃ か は を 
      1 する	じゃ か と も から に を 
      1 する	じゃ か て 
      1 する	し に ね を 
      1 する	し に 
      1 する	し て から は を 
      1 する	し が も 
      1 する	さえ に 
      1 する	さ ね と を 
      1 する	さ と は に を 
      1 する	さ と が に 
      1 する	さ と 
      1 する	さ て に 
      1 する	さ て と 
      1 する	さ 
      1 する	こそ を 
      1 する	けれども 
      1 する	けれど を 
      1 する	けれど で と は を に 
      1 する	け て が によって を 
      1 する	け たり に として 
      1 する	ぐらい に 
      1 する	くらい を に 
      1 する	くらい を 
      1 する	くらい に まで 
      1 する	くらい に に 
      1 する	くらい と を 
      1 する	くらい でも 
      1 する	くらい で 
      1 する	くらい じゃ 
      1 する	くらい が 
      1 する	くらい から が を 
      1 する	が を を 
      1 する	が を の 
      1 する	が を で も 
      1 する	が を て に を 
      1 する	が も を 
      1 する	が も も は 
      1 する	が も に ば こそ で 
      1 する	が も に 
      1 する	が まで に を 
      1 する	が まで て は 
      1 する	が ほど に は 
      1 する	が へ にあたって 
      1 する	が は より と は 
      1 する	が は ば から 
      1 する	が は の に 
      1 する	が は に だけ を 
      1 する	が は に から 
      1 する	が は に 
      1 する	が は と 
      1 する	が は で を 
      1 する	が は で に か 
      1 する	が は て を 
      1 する	が は て 
      1 する	が は から と 
      1 する	が のに 
      1 する	が の に て が 
      1 する	が の に 
      1 する	が ね を 
      1 する	が ね に 
      1 する	が ね と を 
      1 する	が ね と も を 
      1 する	が ね と は 
      1 する	が ね て て 
      1 する	が ね くらい に 
      1 する	が によって 
      1 する	が において て に 
      1 する	が において 
      1 する	が に ばかり 
      1 する	が に は も に 
      1 する	が に は が の 
      1 する	が に に だって は でも と 
      1 する	が に でも 
      1 する	が に が 
      1 する	が に から 
      1 する	が なんか 
      1 する	が として を 
      1 する	が として に 
      1 する	が と ばかり を 
      1 する	が と に 
      1 する	が と で 
      1 する	が でも で は が に 
      1 する	が で は に を 
      1 する	が で て に 
      1 する	が て も も 
      1 する	が て も 
      1 する	が て は だけ に 
      1 する	が て は 
      1 する	が て と を 
      1 する	が て て も は と 
      1 する	が て から を 
      1 する	が て から に 
      1 する	が ちゃ に 
      1 する	が だけ を 
      1 する	が だけ は に は 
      1 する	が さ に も 
      1 する	が が を 
      1 する	が が と は から 
      1 する	が が で 
      1 する	が が が 
      1 する	が から を 
      1 する	が から に は を に も 
      1 する	が から に は 
      1 する	が から に 
      1 する	が から て 
      1 する	が か に 
      1 する	から を に って 
      1 する	から を くらい に 
      1 する	から も に 
      1 する	から ばかり じゃ も か で 
      1 する	から は と を 
      1 する	から は て へ は も 
      1 する	から は て は を 
      1 する	から ね を 
      1 する	から について 
      1 する	から に を 
      1 する	から に も て を 
      1 する	から なり に 
      1 する	から な と や 
      1 する	から な と は の に 
      1 する	から とか 
      1 する	から と は を 
      1 する	から と は も 
      1 する	から と は に 
      1 する	から と は と 
      1 する	から と は から に 
      1 する	から と に を 
      1 する	から と に 
      1 する	から と で 
      1 する	から と だけ は に 
      1 する	から でも な と を 
      1 する	から で は と を 
      1 する	から で が 
      1 する	から て は 
      1 する	から って を 
      1 する	から だけ は が 
      1 する	から だけ は 
      1 する	から さえ 
      1 する	から さ と が 
      1 する	から くらい の に 
      1 する	から が で 
      1 する	から が が 
      1 する	から が か 
      1 する	から から 
      1 する	から か に 
      1 する	かも が から に 
      1 する	かい と は を に 
      1 する	かい と は を 
      1 する	かい と さえ を 
      1 する	か は を 
      1 する	か は の に 
      1 する	か の 
      1 する	か ね と も を 
      1 する	か ね と が 
      1 する	か な と て 
      1 する	か とも 
      1 する	か と も を 
      1 する	か と も 
      1 する	か と が を 
      1 する	か と が 
      1 する	か て を 
      1 する	か て も に は を 
      1 する	か て て 
      1 する	か って を 
      1 する	か って は に を 
      1 する	か って て 
      1 する	か が 
      1 ざんする	は でも 
      1 さする	て を 
      1 さする	て も 
      1 こする	ば 
      1 こする	に は を に 
      1 こする	ながら を 
      1 こする	て を へ 
      1 こする	て に 
      1 がする	も は て で 
      1 がする	は て から は ので 
      1 がする	ので で 
      1 がする	ので 
